President_Name,Term_Start,Term_End,Country
Benito Juárez,1865-12-01,1867-11-30,Mexico
Benito Juárez,1867-12-01,1871-11-30,Mexico
Benito Juárez,1871-12-01,1872-07-18,Mexico
Sebastián Lerdo de Tejada,1872-07-18,1872-11-30,Mexico
Sebastián Lerdo de Tejada,1872-12-01,1876-11-20,Mexico
José María Iglesias,1876-10-26,1876-11-20,Mexico
José María Iglesias,1876-11-20,1876-11-28,Mexico
Porfirio Díaz,1876-11-28,1876-12-06,Mexico
Juan Nepomuceno Méndez,1876-12-06,1877-02-16,Mexico
Porfirio Díaz,1877-02-17,1877-05-05,Mexico
Porfirio Díaz,1877-05-05,1880-11-30,Mexico
Manuel González Flores,1880-12-01,1884-11-30,Mexico
Porfirio Díaz,1884-12-01,1888-11-30,Mexico
Porfirio Díaz,1888-12-01,1892-11-30,Mexico
Porfirio Díaz,1892-12-01,1896-11-30,Mexico
Porfirio Díaz,1896-12-01,1900-11-30,Mexico
Porfirio Díaz,1900-12-01,1904-11-30,Mexico
Porfirio Díaz,1904-12-01,1910-11-30,Mexico
Porfirio Díaz,1910-12-01,1911-05-25,Mexico
Francisco León de la Barra,1911-05-25,1911-11-06,Mexico
Francisco Ignacio Madero González,1911-11-06,1913-02-19,Mexico
Pedro Lascuráin,1913-02-19,1913-02-19,Mexico
Victoriano Huerta Márquez,1913-02-19,1914-07-15,Mexico
Francisco Carvajal,1914-07-15,1914-08-13,Mexico
José Venustiano Carranza de la Garza,1917-05-01,1920-05-21,Mexico
Adolfo de la Huerta,1920-06-01,1920-11-30,Mexico
Álvaro Obregón Salido,1920-12-01,1924-11-30,Mexico
Plutarco Elías Calles,1924-12-01,1928-11-30,Mexico
Emilio Portes Gil,1928-12-01,1930-02-05,Mexico
Pascual Ortiz Rubio,1930-02-05,1932-09-02,Mexico
Abelardo Rodríguez Luján,1932-09-03,1934-11-30,Mexico
Lázaro Cárdenas del Río,1934-12-01,1940-11-30,Mexico
Manuel Ávila Camacho,1940-12-01,1946-11-30,Mexico
Miguel Alemán Valdés,1946-12-01,1952-11-30,Mexico
Adolfo Ruiz Cortines,1952-12-01,1958-11-30,Mexico
Adolfo López Mateos,1958-12-01,1964-11-30,Mexico
Gustavo Díaz Ordaz Bolaños,1964-12-01,1970-11-30,Mexico
Luis Echeverría Álvarez,1970-12-01,1976-11-30,Mexico
José López Portillo y Pacheco,1976-12-01,1982-11-30,Mexico
Miguel de la Madrid Hurtado,1982-12-01,1988-11-30,Mexico
Carlos Salinas de Gortari,1988-12-01,1994-11-30,Mexico
Ernesto Zedillo Ponce de León,1994-12-01,2000-11-30,Mexico
Vicente Fox Quesada,2000-12-01,2006-11-30,Mexico
Felipe Calderón Hinojosa,2006-12-01,2012-11-30,Mexico
Enrique Peña Nieto,2012-12-01,2018-11-30,Mexico
Andrés Manuel López Obrador,2018-12-01,2024-09-30,Mexico
Claudia Sheinbaum Pardo,2024-10-01,2030-09-30,Mexico
