President_Name,Term_Start,Term_End,Country
Benito Juárez,1865/Dec/01,1867/Nov/30,Mexico
Benito Juárez,1867/Dec/01,1871/Nov/30,Mexico
Benito Juárez,1871/Dec/01,1872/Jul/18,Mexico
Sebastián Lerdo de Tejada,1872/Jul/18,1872/Nov/30,Mexico
Sebastián Lerdo de Tejada,1872/Dec/01,1876/Nov/20,Mexico
José María Iglesias,1876/Oct/26,1876/Nov/20,Mexico
José María Iglesias,1876/Nov/20,1876/Nov/28,Mexico
Porfirio Díaz,1876/Nov/28,1876/Dec/06,Mexico
Juan Nepomuceno Méndez,1876/Dec/06,1877/Feb/16,Mexico
Porfirio Díaz,1877/Feb/17,1877/May/05,Mexico
Porfirio Díaz,1877/May/05,1880/Nov/30,Mexico
Manuel González Flores,1880/Dec/01,1884/Nov/30,Mexico
Porfirio Díaz,1884/Dec/01,1888/Nov/30,Mexico
Porfirio Díaz,1888/Dec/01,1892/Nov/30,Mexico
Porfirio Díaz,1892/Dec/01,1896/Nov/30,Mexico
Porfirio Díaz,1896/Dec/01,1900/Nov/30,Mexico
Porfirio Díaz,1900/Dec/01,1904/Nov/30,Mexico
Porfirio Díaz,1904/Dec/01,1910/Nov/30,Mexico
Porfirio Díaz,1910/Dec/01,1911/May/25,Mexico
Francisco León de la Barra,1911/May/25,1911/Nov/06,Mexico
Francisco Ignacio Madero González,1911/Nov/06,1913/Feb/19,Mexico
Pedro Lascuráin,1913/Feb/19,1913/Feb/19,Mexico
Victoriano Huerta Márquez,1913/Feb/19,1914/Jul/15,Mexico
Francisco Carvajal,1914/Jul/15,1914/Aug/13,Mexico
José Venustiano Carranza de la Garza,1917/May/01,1920/May/21,Mexico
Adolfo de la Huerta,1920/Jun/01,1920/Nov/30,Mexico
Álvaro Obregón Salido,1920/Dec/01,1924/Nov/30,Mexico
Plutarco Elías Calles,1924/Dec/01,1928/Nov/30,Mexico
Emilio Portes Gil,1928/Dec/01,1930/Feb/05,Mexico
Pascual Ortiz Rubio,1930/Feb/05,1932/Sep/02,Mexico
Abelardo Rodríguez Luján,1932/Sep/03,1934/Nov/30,Mexico
Lázaro Cárdenas del Río,1934/Dec/01,1940/Nov/30,Mexico
Manuel Ávila Camacho,1940/Dec/01,1946/Nov/30,Mexico
Miguel Alemán Valdés,1946/Dec/01,1952/Nov/30,Mexico
Adolfo Ruiz Cortines,1952/Dec/01,1958/Nov/30,Mexico
Adolfo López Mateos,1958/Dec/01,1964/Nov/30,Mexico
Gustavo Díaz Ordaz Bolaños,1964/Dec/01,1970/Nov/30,Mexico
Luis Echeverría Álvarez,1970/Dec/01,1976/Nov/30,Mexico
José López Portillo y Pacheco,1976/Dec/01,1982/Nov/30,Mexico
Miguel de la Madrid Hurtado,1982/Dec/01,1988/Nov/30,Mexico
Carlos Salinas de Gortari,1988/Dec/01,1994/Nov/30,Mexico
Ernesto Zedillo Ponce de León,1994/Dec/01,2000/Nov/30,Mexico
Vicente Fox Quesada,2000/Dec/01,2006/Nov/30,Mexico
Felipe Calderón Hinojosa,2006/Dec/01,2012/Nov/30,Mexico
Enrique Peña Nieto,2012/Dec/01,2018/Nov/30,Mexico
Andrés Manuel López Obrador,2018/Dec/01,2024/Sep/30,Mexico
Claudia Sheinbaum Pardo,2024/Oct/01,,Mexico
