Country,President_Name,Term_Start,Term_End
USA,George Washington,1789-04-30,1797-03-04
USA,John Adams,1797-03-04,1801-03-04
USA,Thomas Jefferson,1801-03-04,1809-03-04
USA,James Madison,1809-03-04,1817-03-04
USA,James Monroe,1817-03-04,1825-03-04
USA,John Quincy Adams,1825-03-04,1829-03-04
USA,Andrew Jackson,1829-03-04,1837-03-04
USA,Martin Van Buren,1837-03-04,1841-03-04
USA,William Henry Harrison,1841-03-04,1841-04-04
USA,John Tyler,1841-04-04,1845-03-04
USA,James Knox Polk,1845-03-04,1849-03-04
USA,Zachary Taylor,1849-03-04,1850-07-09
USA,Millard Fillmore,1850-07-09,1853-03-04
USA,Franklin Pierce,1853-03-04,1857-03-04
USA,James Buchanan,1857-03-04,1861-03-04
USA,Abraham Lincoln,1861-03-04,1865-04-15
USA,Andrew Johnson,1865-04-15,1869-03-04
USA,Ulysses S. Grant,1869-03-04,1877-03-04
USA,Rutherford Birchard Hayes,1877-03-04,1881-03-04
USA,James Abram Garfield,1881-03-04,1881-09-19
USA,Chester Alan Arthur,1881-09-19,1885-03-04
USA,Grover Cleveland,1885-03-04,1889-03-04
USA,Benjamin Harrison,1889-03-04,1893-03-04
USA,Grover Cleveland,1893-03-04,1897-03-04
USA,William McKinley,1897-03-04,1901-09-14
USA,Theodore Roosevelt,1901-09-14,1909-03-04
USA,William Howard Taft,1909-03-04,1913-03-04
USA,Woodrow Wilson,1913-03-04,1921-03-04
USA,Warren Gamaliel Harding,1921-03-04,1923-08-02
USA,Calvin Coolidge,1923-08-02,1929-03-04
USA,Herbert Hoover,1929-03-04,1933-03-04
USA,Franklin Delano Roosevelt,1933-03-04,1945-04-12
USA,Harry S. Truman,1945-04-12,1953-01-20
USA,Dwight David Eisenhower,1953-01-20,1961-01-20
USA,John Fitzgerald Kennedy,1961-01-20,1963-11-22
USA,Lyndon B. Johnson,1963-11-22,1969-01-20
USA,Richard Nixon,1969-01-20,1974-08-09
USA,Gerald Ford,1974-08-09,1977-01-20
USA,Jimmy Carter,1977-01-20,1981-01-20
USA,Ronald Reagan,1981-01-20,1989-01-20
USA,George Herbert Walker Bush,1989-01-20,1993-01-20
USA,Bill Clinton,1993-01-20,2001-01-20
USA,George Walker Bush,2001-01-20,2009-01-20
USA,Barack Obama,2009-01-20,2017-01-20
USA,Donald Trump,2017-01-20,2021-01-20
USA,Joe Biden,2021-01-20,2025-01-20
