Subdivisión.de.personal,Campus,Region
C Aguascalient,Aguascalientes,RO
C Cen Veracruz,Central de Veracruz,DR
C Chiapas,Chiapas,DR
C Chihuahua,Chihuahua,RO
C Ciudad Juárez,Ciudad Juárez,DR
C CM,Ciudad de México,RCM
C Colima,Colima,DR
C Cuernavaca,Cuernavaca,RCS
C Cumbres,Cumbres,RM
C EM,Estado de México,RCM
C Eugenio GL,Eugenio Garza Lagüera,RM
C Eugenio GS,Eugenio Garza Sada,RM
C Guadalajara,Guadalajara,RO
C Hidalgo,Hidalgo,RCS
C Irapuato,Irapuato,DR
C Laguna,Laguna,RM
C León,León,RO
C Morelia,Morelia,RO
C Navojoa,Navojoa,DR
C Obregón,Ciudad Obregón,DR
C Puebla,Puebla,RCS
C Querétaro,Querétaro,RCS
C Saltillo,Saltillo,RM
C San Luis Pot,San Luis Potosí,RCS
C Santa Fe,Santa Fe,RCM
C Sinaloa,Sinaloa,RO
C Sonora Norte,Sonora Norte,RO
C Sta Catarina,Santa Catarina,RM
C Tampico,Tampico,RCS
C Toluca,Toluca,RCS
C Valle Alto,Valle Alto,RM
C Zacatecas,Zacatecas,DR
C. Monterrey,Monterrey,RM
Campus Tampico,Tampico,RCS
EGADE CCM,EGADE Santa Fe,RENP
EGADE GDA,EGADE Guadalajara,RENP
EGADE Mty,EGADE Monterrey,RENP
EGADE Santa Fe,EGADE Santa Fe,RENP
EGob Mixcoac,EGAP Santa Fe,RENP
EGobierno EM,EGAP Santa Fe,RENP
EGobierno MTY,EGAP Monterrey,RENP
EGobierno SF,EGAP Santa Fe,RENP
P Queretaro,Querétaro,RCS
Prog. en línea,Programas en Línea,PL
R.  Tec. Mty,Monterrey,RM
R. Tec. Mty,Monterrey,RM
Inst Futuro Edu,NA,NA
INST2 INV2025,NA,NA
