campus,region
Cuernavaca,Centro Sur
Hidalgo,Centro Sur
Irapuato,Centro Sur
Puebla,Centro Sur
Querétaro,Centro Sur
Tampico,Centro Sur
Chiapas,Ciudad de México
Ciudad de México,Ciudad de México
Estado de México,Ciudad de México
Santa Fe,Ciudad de México
Toluca,Ciudad de México
Cumbres,Monterrey
Eugenio Garza Lagüera,Monterrey
Eugenio Garza Sada,Monterrey
Monterrey,Monterrey
Saltillo,Monterrey
Santa Catarina,Monterrey
Valle Alto,Monterrey
Chihuahua,Norte
Ciudad Juárez,Norte
Laguna,Norte
León,Norte
San Luis Potosí,Norte
Sonora Norte,Norte
Aguascalientes,Occidente
Ciudad Obregón,Occidente
Guadalajara,Occidente
Morelia,Occidente
Sinaloa,Occidente
Zacatecas,Occidente
EGADE Monterrey,Posgrado
EGADE Santa Fe,Posgrado
EGAP Monterrey,Posgrado
EGAP Santa Fe,Posgrado
Nacional,Programas en Línea
Programas en Línea,Programas en Línea
