clave.uf,nombre.uf,disciplina,unidades,creditos,horas.clase,horas.laboratorio,horas.atencion
IQ3041,Ingeniería de plásticos y compósitos,IQ,8,3,3,0,3
IQ3044,Procesado y manufactura de plásticos,IQ,8,3,3,0,3
NT6021,Investigación dirigida I,NT,12,3,3,0,3
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
WA3058,Taller de sensibilización y preparación para exámenes de fin de carrera (IDS),WA,0,0,3,0,4
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ2012B,Análisis de procesos de separación y reacción,IQ,10.7,4,12,0,16
IQ2012B,Análisis de procesos de separación y reacción,IQ,10.7,4,12,0,16
IQ2016,Predicción del equilibrio químico y de fases,IQ,8,3,3,0,4
IQ3052,Estancia profesional,IQ,48,18,18,0,24
WKIQ2001S,SEMANA 18 ENFOQUE IQ-5,WK,0,0,0,0,20
CV3018,Diseño de estructuras de acero,CV,8,3,3,0,3
CV3021,Proyecto integrador de diseño estructural,CV,8,3,3,0,3
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
IQ3052,Estancia profesional,IQ,48,18,18,0,24
WKCV2002S,Semana 18 Enfoque IC-4,WK,0,0,0,0,20
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ2001S,Explora el diseño asistido por computadora de los procesos químicos,IQ,0,0,0,0,20
IQ2001S,Explora el diseño asistido por computadora de los procesos químicos,IQ,0,0,0,0,20
IQ2016,Predicción del equilibrio químico y de fases,IQ,8,3,3,0,4
IQ2016,Predicción del equilibrio químico y de fases,IQ,8,3,3,0,4
WA3059,Taller de sensibilización y preparación para exámenes de fin de carrera (IQ),WA,0,0,3,0,4
WKIQ2001S,SEMANA 18 ENFOQUE IQ-5,WK,0,0,0,0,20
IQ3016,Laboratorio de microprocesos,IQ,4,1.5,0,3,3
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
CV2001S,Tecnología en la modelación estructural,CV,0,0,0,0,20
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
DS3004C,Uso sustentable del agua II,DS,32,12,18,0,24
CV2038,Gestión de proyectos,CV,2.7,1,3,0,4
CV3024,Introducción a la vida profesional,CV,2,0.8,2,0,2
DS1002B,"Causas, consecuencias y soluciones para el cambio climático",DS,8,3,9,0,12
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
DS3002B,"Economía circular, materiales y procesos sustentables",DS,16,6,18,0,24
DS3002B,"Economía circular, materiales y procesos sustentables",DS,16,6,18,0,24
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ2013,Análisis de procesos y economía circular,IQ,2.7,1,3,0,4
DS3001C,Descarbonización y energías limpias I,DS,16,6,18,0,24
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
IQ3002B,Aplicación de la ingeniería de procesos en proyectos industriales,IQ,32,12,18,0,24
IQ3017,Proyecto en innovación de procesos y productos,IQ,8,3,3,0,3
IQ3017,Proyecto en innovación de procesos y productos,IQ,8,3,3,0,3
WKIQ3002S,Evaluación Etapa Final - IQ,WK,0,0,0,0,20
CV1009,Análisis químico del ambiente y de los materiales de construcción,CV,5.3,2,3,0,4
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
CV2028,Laboratorio de infraestructura vial,CV,4,1.5,0,3,3
DS4000,Liderazgo para el desarrollo sostenible,DS,6,1.5,1.5,0,1.5
DS3001C,Descarbonización y energías limpias I,DS,16,6,18,0,24
DS3002C,Descarbonización y energías limpias II,DS,32,12,18,0,24
IQ3032,Tecnologías para el uso eficiente de energía térmica,IQ,8,3,3,0,3
IQ3049,Estancia de investigación,IQ,48,18,18,0,24
IQ3049,Estancia de investigación,IQ,48,18,18,0,24
DS3002B,"Economía circular, materiales y procesos sustentables",DS,16,6,18,0,24
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
CV3003C,Inteligencia inmobiliaria I,CV,16,6,18,0,24
CV3004C,Inteligencia inmobiliaria II,CV,32,12,18,0,24
CV2001S,Tecnología en la modelación estructural,CV,0,0,0,0,20
WKCV3001S,Semana 18 Especialización IC-7,WK,0,0,0,0,20
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ3052,Estancia profesional,IQ,48,18,18,0,24
IQ1001B,Aplicación de la conservación de la materia en ingeniería de procesos,IQ,8,3,9,0,12
IQ1002B,Aplicación de la conservación de la energía en ingeniería de procesos,IQ,8,3,9,0,12
CV1009,Análisis químico del ambiente y de los materiales de construcción,CV,5.3,2,3,0,4
IQ2016,Predicción del equilibrio químico y de fases,IQ,8,3,3,0,4
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
CV2004B,Evaluación del comportamiento de sistemas estructurales,CV,10.7,4,12,0,16
WKCV2001S,SEMANA 18 ENFOQUE IC-5,WK,0,0,0,0,20
WKCV3002S,Evaluación Etapa Final - IC,WK,0,0,0,0,20
CV3016,Análisis estructural computacional,CV,8,3,3,0,3
CV3017,Diseño de estructuras de concreto,CV,8,3,3,0,3
WKCV2001S,SEMANA 18 ENFOQUE IC-5,WK,0,0,0,0,20
NT6021,Investigación dirigida I,NT,12,3,3,0,3
NT6022,Investigación dirigida II,NT,12,3,3,0,3
NT6025,Examen integrador,NT,6,1.5,1.5,0,1.5
DS4000,Liderazgo para el desarrollo sostenible,DS,6,1.5,1.5,0,1.5
DS4000,Liderazgo para el desarrollo sostenible,DS,6,1.5,1.5,0,1.5
DS2001S,Consultoría en sustentabilidad y sus tendencias,DS,0,0,0,0,20
DS3001B,Diseño de estrategias de sustentabilidad corporativa,DS,16,6,18,0,24
DS4000,Liderazgo para el desarrollo sostenible,DS,6,1.5,1.5,0,1.5
IQ2013,Análisis de procesos y economía circular,IQ,2.7,1,3,0,4
WKDS3002S,Evaluación Etapa Final - IDS,WK,0,0,0,0,20
CV3003C,Inteligencia inmobiliaria I,CV,16,6,18,0,24
CV3004C,Inteligencia inmobiliaria II,CV,32,12,18,0,24
CV1002S,Tecnología en el ambiente construido para Ingeniería,CV,0,0,0,0,20
CV1002S,Tecnología en el ambiente construido para Ingeniería,CV,0,0,0,0,20
CV1005B,Integración de proyectos en el ambiente construido,CV,8,3,9,0,12
CV1005B,Integración de proyectos en el ambiente construido,CV,8,3,9,0,12
CV1005B,Integración de proyectos en el ambiente construido,CV,8,3,9,0,12
CV1014,Diseño de instalaciones en edificaciones,CV,2.7,1,3,0,4
WKCV3001S,Semana 18 Especialización IC-7,WK,0,0,0,0,20
IQ2011B,Diseño de reactores químicos,IQ,10.7,4,12,0,16
IQ2011B,Diseño de reactores químicos,IQ,10.7,4,12,0,16
CV2005B,Diseño de sistemas hidráulicos para el uso sustentable del agua,CV,10.7,4,12,0,16
CV2005B,Diseño de sistemas hidráulicos para el uso sustentable del agua,CV,10.7,4,12,0,16
CV2005B,Diseño de sistemas hidráulicos para el uso sustentable del agua,CV,10.7,4,12,0,16
CV2007B,Modelación de técnicas de saneamiento del agua,CV,16,6,18,0,24
CV2041,Infraestructura urbana,CV,5.3,2,3,0,4
DS3003C,Uso sustentable del agua I,DS,16,6,18,0,24
CV3001B,Integración de proyectos de ingeniería civil,CV,32,12,18,6,24
CV3001B,Integración de proyectos de ingeniería civil,CV,32,12,18,6,24
CV3001B,Integración de proyectos de ingeniería civil,CV,32,12,18,6,24
WA3066,Taller de sensibilización y preparación para exámenes de fin de carrera (IC),WA,0,0,3,0,4
CV2006B,Diseño de vialidades para el desarrollo,CV,10.7,4,12,0,16
CV2006B,Diseño de vialidades para el desarrollo,CV,10.7,4,12,0,16
CV2006B,Diseño de vialidades para el desarrollo,CV,10.7,4,12,0,16
CV3016,Análisis estructural computacional,CV,8,3,3,0,3
IQ3052,Estancia profesional,IQ,48,18,18,0,24
WA3066,Taller de sensibilización y preparación para exámenes de fin de carrera (IC),WA,0,0,3,0,4
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
DS1009,Procesos ecológicos para el desarrollo humano,DS,8,3,3,0,4
DS1008,Evaluación del capital natural y principios de sustentabilidad,DS,2.7,1,3,0,4
CV3001C,Eficiencia y digitalización de la construcción I,CV,16,6,18,0,24
CV2040,Gestión empresarial en la industria de la construcción,CV,2.7,1,3,0,4
CV2040,Gestión empresarial en la industria de la construcción,CV,2.7,1,3,0,4
CV3024,Introducción a la vida profesional,CV,2,0.8,2,0,2
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
CV1005B,Integración de proyectos en el ambiente construido,CV,8,3,9,0,12
CV1005B,Integración de proyectos en el ambiente construido,CV,8,3,9,0,12
CV2040,Gestión empresarial en la industria de la construcción,CV,2.7,1,3,0,4
CV2040,Gestión empresarial en la industria de la construcción,CV,2.7,1,3,0,4
CV3003C,Inteligencia inmobiliaria I,CV,16,6,18,0,24
CV3004C,Inteligencia inmobiliaria II,CV,32,12,18,0,24
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
CV1004B,Innovación en materiales y procedimientos constructivos,CV,8,3,9,0,12
WKCV2001S,SEMANA 18 ENFOQUE IC-5,WK,0,0,0,0,20
CV2038,Gestión de proyectos,CV,2.7,1,3,0,4
CV2038,Gestión de proyectos,CV,2.7,1,3,0,4
CV2038,Gestión de proyectos,CV,2.7,1,3,0,4
IQ2001S,Explora el diseño asistido por computadora de los procesos químicos,IQ,0,0,0,0,20
IQ2010B,Diseño de procesos de separación,IQ,10.7,4,12,0,16
IQ2016,Predicción del equilibrio químico y de fases,IQ,8,3,3,0,4
IQ3052,Estancia profesional,IQ,48,18,18,0,24
WKIQ2001S,SEMANA 18 ENFOQUE IQ-5,WK,0,0,0,0,20
CV2008B,Diseño de movilidad eficiente de personas y mercancías,CV,16,6,18,0,24
CV3022,Gestión empresarial de la industria de la construcción,CV,8,3,3,0,3
CV2016,Administración de obras,CV,8,3,3,0,3
CV1009,Análisis químico del ambiente y de los materiales de construcción,CV,5.3,2,3,0,4
CV1009,Análisis químico del ambiente y de los materiales de construcción,CV,5.3,2,3,0,4
CV1009,Análisis químico del ambiente y de los materiales de construcción,CV,5.3,2,3,0,4
NT6031,Propuesta de Investigación I,NT,12,3,3,0,3
NT6032,Propuesta de investigación II,NT,12,3,3,0,3
NT6035,Defensa de la propuesta de investigación,NT,6,1.5,1.5,0,1.5
NT6031,Propuesta de Investigación I,NT,12,3,3,0,3
NT6032,Propuesta de investigación II,NT,12,3,3,0,3
