price,fit,residuals,weight,length,width,depth,table,cut,color,clarity,depth.percentage
326,170.6519526,155.3480474,0.23,3.95,3.98,2.43,55,Ideal,E,SI2,61.5
326,-364.4145458,690.4145458,0.21,3.89,3.84,2.31,61,Premium,E,SI1,59.8
327,-536.5798105,863.5798105,0.23,4.05,4.07,2.31,65,Good,E,VS1,56.9
334,270.7082265,63.29177348,0.29,4.2,4.23,2.63,58,Premium,I,VS2,62.4
335,302.4126765,32.58732352,0.31,4.34,4.35,2.75,58,Good,J,SI2,63.3
336,93.55616976,242.4438302,0.24,3.94,3.96,2.48,57,Very Good,J,VVS2,62.8
336,96.58783975,239.4121603,0.24,3.95,3.98,2.47,57,Very Good,I,VVS1,62.3
337,335.3898949,1.610105084,0.26,4.07,4.11,2.53,55,Very Good,H,SI1,61.9
337,-388.2208618,725.2208618,0.22,3.87,3.78,2.49,61,Fair,E,VS2,65.1
338,-267.0582114,605.0582114,0.23,4,4.05,2.39,61,Very Good,H,VS1,59.4
339,491.0834263,-152.0834263,0.3,4.25,4.28,2.73,55,Good,J,SI1,64
340,77.50024215,262.4997578,0.23,3.93,3.9,2.46,56,Ideal,J,VS1,62.8
342,-269.5367211,611.5367211,0.22,3.88,3.84,2.33,61,Premium,F,SI1,60.4
344,621.1989554,-277.1989554,0.31,4.35,4.37,2.71,54,Ideal,J,SI2,62.2
345,-450.800141,795.800141,0.2,3.79,3.75,2.27,62,Premium,E,SI2,60.2
345,436.8564121,-91.85641205,0.32,4.38,4.42,2.68,58,Premium,E,I1,60.9
348,565.9660792,-217.9660792,0.3,4.31,4.34,2.68,54,Ideal,I,SI2,62
351,602.8436542,-251.8436542,0.3,4.23,4.29,2.7,54,Good,J,SI1,63.4
351,443.8647832,-92.86478319,0.3,4.23,4.26,2.71,56,Good,J,SI1,63.8
351,276.3120134,74.68798656,0.3,4.21,4.27,2.66,59,Very Good,J,SI1,62.7
351,427.931008,-76.93100798,0.3,4.26,4.3,2.71,56,Good,I,SI2,63.3
352,198.9235921,153.0764079,0.23,3.85,3.92,2.48,55,Very Good,E,VS2,63.8
353,42.54042748,310.4595725,0.23,3.94,3.96,2.41,57,Very Good,H,VS1,61
353,78.82414388,274.1758561,0.31,4.39,4.43,2.62,62,Very Good,J,SI1,59.4
