date,kftx,gold,sp500,nasdaq,dxy,expinf
2010-07-19,297.192,1182.93,1071.25,1819.28,82.513,2.06
2010-07-20,302.243,1192.2,1083.48,1840.67,82.747,2.08
2010-07-21,296.424,1185,1069.59,1817.3,83.393,2.08
2010-07-22,304.388,1194.98,1093.67,1863.1,82.595,2.13
2010-07-23,309.486,1189.14,1102.66,1875.38,82.464,2.17
2010-07-26,313.557,1183.5,1115.01,1890.4,82.087,2.18
2010-07-27,312.994,1161.6,1113.84,1888.81,82.185,2.2
2010-07-28,308.926,1163.1,1106.13,1872.62,82.179,2.16
2010-07-29,309.335,1168.1,1101.53,1860.3,81.636,2.19
2010-07-30,310.065,1181,1101.6,1864,81.539,2.17
2010-08-02,314.14,1182.75,1125.86,1898.99,80.938,2.22
2010-08-03,311.101,1186.25,1120.46,1891.81,80.596,2.23
2010-08-04,313.534,1194.83,1127.24,1909.2,80.892,2.22
2010-08-05,310.677,1194.96,1125.82,1904.95,80.825,2.24
2010-08-06,310.247,1205.4,1121.64,1902.88,80.407,2.18
2010-08-09,314.42,1201.23,1127.79,1915.17,80.711,2.16
2010-08-10,307.812,1204.3,1121.06,1899.24,80.799,2.2
2010-08-11,298.299,1198.15,1089.47,1845.38,82.29,2.11
2010-08-12,295.138,1213.95,1083.61,1832.17,82.635,2.03
2010-08-13,293.063,1215.43,1079.25,1818.8,82.948,2.02
2010-08-16,294.04,1225.35,1079.38,1821.51,82.533,1.97
2010-08-17,297.19,1224.83,1092.54,1845.37,82.226,1.98
2010-08-18,296.485,1229.3,1094.16,1850.8,82.223,1.96
2010-08-19,289.756,1231.96,1075.63,1823,82.447,1.9
2010-08-20,288.268,1227.89,1071.69,1825.75,83.057,1.9
2010-08-23,285.364,1226.15,1067.36,1808.31,83.123,1.89
2010-08-24,281.969,1230.5,1051.87,1775.27,83.146,1.79
2010-08-25,285.62,1240.15,1055.33,1790.88,83.261,1.85
2010-08-26,284.525,1237.6,1047.22,1769.02,82.934,1.86
2010-08-27,291.247,1237.83,1064.59,1791.64,82.918,1.95
2010-08-30,285.477,1237,1048.92,1772.07,83.164,1.87
2010-08-31,284.718,1247.4,1049.33,1767.43,83.202,1.85
2010-09-01,294.604,1244.3,1080.29,1820.05,82.522,1.91
2010-09-02,298.114,1251.06,1090.1,1840.58,82.463,1.96
2010-09-03,301.918,1246.55,1104.51,1870.31,82.102,1.99
2010-09-06,301.918,1249.95,1104.51,1870.31,82.042,1.99
2010-09-07,296.207,1255.7,1091.84,1856.5,82.82,2.02
2010-09-08,298.216,1254.95,1098.87,1880,82.585,2.05
2010-09-09,299.883,1243.6,1104.18,1886.14,82.674,2.15
2010-09-10,301.624,1245.98,1109.55,1892.34,82.698,2.24
2010-09-13,307.162,1245.55,1121.9,1921.67,81.912,2.26
2010-09-14,307.441,1268.33,1121.1,1928.59,81.08,2.22
2010-09-15,309.504,1268.15,1125.07,1939.6,81.491,2.25
2010-09-16,308.236,1275.25,1124.66,1948.11,81.241,2.25
2010-09-17,310.458,1274.18,1125.59,1955.83,81.398,2.25
2010-09-20,316.814,1278.25,1142.71,1989.43,81.335,2.32
2010-09-21,314.782,1287.38,1139.78,1989.11,80.439,2.37
2010-09-22,311.793,1291.41,1134.28,1982.76,79.83,2.32
2010-09-23,308.94,1292.4,1124.83,1982.15,80.01,2.29
2010-09-24,318.105,1296.63,1148.67,2023.84,79.395,2.31
2010-09-27,315.612,1294.5,1142.16,2010.99,79.338,2.21
2010-09-28,317.757,1308.95,1147.7,2012.43,79.014,2.27
2010-09-29,319.284,1309.8,1144.73,2009.08,78.691,2.26
2010-09-30,325.842,1308.54,1141.2,1998.04,78.72,2.26
2010-10-01,324.743,1319.03,1146.24,1996.6,78.088,2.25
2010-10-04,320.027,1315.35,1137.03,1975.33,78.447,2.23
2010-10-05,325.393,1340.54,1160.75,2024.63,77.749,2.3
2010-10-06,323.778,1349.01,1159.97,2006.52,77.386,2.33
2010-10-07,324.287,1333.55,1158.06,2011.63,77.387,2.35
2010-10-08,326.761,1346.85,1165.15,2027.03,77.325,2.44
2010-10-11,327.053,1354.15,1165.32,2026.98,77.442,2.44
2010-10-12,327.899,1350.55,1169.77,2041.55,77.363,2.42
2010-10-13,331.513,1372.28,1178.1,2057.25,77.071,2.47
2010-10-14,330.837,1381.25,1173.81,2054.51,76.647,2.55
2010-10-15,330.992,1368.4,1176.19,2097.73,77.041,2.6
2010-10-18,333.976,1368.6,1184.71,2104.15,76.934,2.57
2010-10-19,329.618,1332,1165.9,2069.73,78.184,2.61
2010-10-20,333.885,1346.04,1178.17,2085.75,77.171,2.6
2010-10-21,335.689,1325.72,1180.27,2090.1,77.418,2.62
2010-10-22,336.28,1328.55,1183.08,2104.21,77.472,2.62
2010-10-25,338.106,1339.91,1185.62,2113.55,77.103,2.66
2010-10-26,338.622,1340.54,1185.64,2119.05,77.708,2.67
2010-10-27,336.199,1325.3,1182.45,2125.88,78.149,2.67
2010-10-28,334.775,1343.91,1183.78,2129.73,77.308,2.72
2010-10-29,337.64,1359.4,1183.26,2124.45,77.266,2.78
2010-11-01,335.813,1353.83,1184.39,2128.42,77.296,2.83
2010-11-02,340.274,1357.5,1193.57,2151.72,76.722,2.79
2010-11-03,342.909,1348.54,1197.96,2158.36,76.481,2.83
2010-11-04,351.646,1392.53,1221.06,2187.8,75.882,2.66
2010-11-05,352.014,1393.63,1225.85,2186.71,76.548,2.63
2010-11-08,349.947,1409.43,1223.25,2188.94,77.027,2.66
2010-11-09,346.739,1393.14,1213.4,2176.88,77.443,2.7
2010-11-10,349.267,1403.98,1218.71,2187.74,77.634,2.58
2010-11-11,347.16,1408.8,1213.54,2173.11,78.217,2.58
2010-11-12,341.544,1368.75,1199.21,2137.95,78.082,2.53
2010-11-15,341.289,1360.58,1197.75,2131.48,78.518,2.53
2010-11-16,336.191,1339.63,1178.34,2093.63,79.21,2.47
2010-11-17,339.351,1336.05,1178.59,2100,79.084,2.57
2010-11-18,343.548,1353.43,1196.69,2134.77,78.617,2.57
2010-11-19,344.913,1353.63,1199.73,2135.27,78.504,2.63
2010-11-22,344.724,1366.8,1197.84,2150.86,78.682,2.62
2010-11-23,339.375,1376.45,1180.73,2116.61,79.681,2.62
2010-11-24,345.907,1373.31,1198.35,2160.52,79.867,2.67
2010-11-25,345.907,1375.35,1198.35,2160.52,79.73,2.67
2010-11-26,344.5,1363.8,1189.4,2153.91,80.357,2.64
2010-11-29,343.06,1366.31,1187.76,2144.56,80.835,2.64
2010-11-30,341.191,1386.23,1180.55,2117.33,81.195,2.6
2010-12-01,349.452,1387.9,1206.07,2162.83,80.713,2.68
2010-12-02,355.2,1385.15,1221.53,2185.3,80.303,2.7
2010-12-03,359.152,1414.08,1224.71,2191.17,79.377,2.72
2010-12-06,359.015,1423.75,1223.12,2189.81,79.571,2.72
2010-12-07,360.897,1402.08,1223.75,2189.35,79.857,2.79
2010-12-08,361.916,1382.03,1228.28,2200.6,79.997,2.7
2010-12-09,363.616,1387.11,1233,2201.57,80.069,2.63
2010-12-10,365.165,1386.13,1240.4,2215.34,80.07,2.67
2010-12-13,363.769,1394.13,1240.46,2207.45,79.284,2.7
2010-12-14,365.181,1396.2,1241.59,2212.59,79.367,2.75
2010-12-15,364.122,1380.84,1235.23,2202.45,80.261,2.85
2010-12-16,365.177,1370.18,1242.87,2218.02,80.181,2.86
2010-12-17,364.128,1375.38,1243.91,2218.29,80.373,2.81
2010-12-20,362.439,1385.3,1247.08,2223.04,80.628,2.83
2010-12-21,365.211,1385.6,1254.6,2234.57,80.718,2.81
2010-12-22,364.992,1385.3,1258.84,2235.91,80.727,2.85
2010-12-23,364.451,1380,1256.77,2230.27,80.522,2.83
2010-12-24,364.451,1384.65,1256.77,2230.27,80.474,2.83
2010-12-27,366.911,1383.78,1257.54,2229.86,80.366,2.77
2010-12-28,366.682,1405.95,1258.51,2227.42,80.365,2.82
2010-12-29,367.309,1411.78,1259.78,2231.64,79.796,2.77
2010-12-30,368.022,1404.65,1257.88,2225.72,79.521,2.78
2010-12-31,366.742,1421.4,1257.64,2217.86,79.028,2.77
2011-01-03,369.917,1414.8,1271.87,2254.23,79.127,2.8
2011-01-04,367.92,1380.5,1270.2,2251.46,79.444,2.84
2011-01-05,371.344,1378.25,1276.56,2270.4,80.258,2.9
2011-01-06,373.161,1371.56,1273.85,2277.51,80.791,2.86
2011-01-07,371.223,1369.54,1271.5,2276.7,81.012,2.81
2011-01-10,372.654,1375.71,1269.75,2284.38,80.881,2.81
2011-01-11,373.421,1381.58,1274.48,2288.73,80.846,2.8
2011-01-12,376.281,1387.9,1285.96,2304.88,80.031,2.84
2011-01-13,375.243,1373.6,1283.76,2305.53,79.191,2.79
2011-01-14,378.201,1361.85,1293.24,2323.43,79.162,2.77
2011-01-17,378.201,1361.61,1293.24,2323.43,79.337,2.77
2011-01-18,379.9,1368.34,1295.02,2328.79,78.962,2.85
2011-01-19,374.212,1369.86,1281.92,2303.32,78.64,2.82
2011-01-20,371.122,1346.25,1280.26,2286.08,78.823,2.6
2011-01-21,373.42,1342.68,1283.35,2268.32,78.213,2.56
2011-01-24,378.337,1334.4,1290.84,2300.39,78.05,2.57
2011-01-25,378.052,1332.43,1291.18,2304.03,78.002,2.54
2011-01-26,381.423,1346,1296.63,2314.19,77.898,2.62
2011-01-27,381.481,1313.53,1299.54,2330.07,77.727,2.62
2011-01-28,372.904,1336.78,1276.34,2270.51,78.133,2.61
2011-01-31,376.267,1332.68,1286.12,2281.91,77.735,2.72
2011-02-01,381.991,1341.4,1307.59,2324.95,77.067,2.73
2011-02-02,384.094,1335.25,1304.03,2321.09,77.158,2.71
2011-02-03,383.497,1354.35,1307.1,2323.07,77.748,2.7
2011-02-04,383.65,1348.93,1310.87,2338.2,78.044,2.77
2011-02-07,388.071,1351.28,1319.05,2349.2,78.029,2.74
2011-02-08,389.27,1363.98,1324.57,2363.61,77.999,2.77
2011-02-09,389.207,1363.73,1320.88,2360.95,77.641,2.68
2011-02-10,392.239,1363.8,1321.87,2364.35,78.25,2.7
2011-02-11,393.939,1356.95,1329.15,2379.15,78.46,2.68
2011-02-14,397.334,1361.78,1332.32,2385.6,78.614,2.7
2011-02-15,394.681,1373.85,1328.01,2381.92,78.573,2.65
2011-02-16,396.26,1374.39,1336.32,2397.94,78.223,2.56
2011-02-17,399.723,1384.08,1340.43,2397.57,77.995,2.57
2011-02-18,401.255,1389.99,1343.01,2392.47,77.664,2.64
2011-02-21,401.255,1406.45,1343.01,2392.47,77.689,2.64
2011-02-22,391.233,1399.14,1315.45,2322.86,77.768,2.59
2011-02-23,385.4,1411.64,1307.4,2300.94,77.409,2.58
2011-02-24,387.012,1402.66,1306.1,2313.31,77.057,2.62
2011-02-25,393.085,1410.65,1319.88,2346.29,77.275,2.63
2011-02-28,393.342,1411.33,1327.22,2350.99,76.889,2.63
2011-03-01,384.798,1433.38,1306.33,2315.26,77.049,2.65
2011-03-02,387.014,1434.4,1308.44,2326.77,76.671,2.65
2011-03-03,393.436,1415.88,1330.97,2371.76,76.483,2.71
2011-03-04,391.137,1430.95,1321.15,2359.96,76.4,2.74
2011-03-07,385.78,1432.05,1310.13,2328.07,76.496,2.76
2011-03-08,390.672,1428.88,1321.82,2337.55,76.798,2.79
2011-03-09,390.477,1430.75,1320.03,2322.69,76.721,2.75
2011-03-10,380.943,1411.85,1295.11,2284.29,77.276,2.7
2011-03-11,381.76,1417.65,1304.28,2299.26,76.776,2.71
2011-03-14,379.088,1426.43,1296.39,2290.72,76.349,2.71
2011-03-15,376.622,1395.7,1281.87,2259.62,76.328,2.64
2011-03-16,369.626,1399.03,1256.88,2202.97,76.681,2.65
2011-03-17,371.369,1403.81,1273.71,2225.24,76.041,2.68
2011-03-18,375.15,1418.56,1279.21,2221.07,75.718,2.68
2011-03-21,381.985,1427.79,1298.38,2262.7,75.401,2.68
2011-03-22,379.146,1427.85,1293.77,2257.96,75.434,2.59
2011-03-23,381.702,1437.43,1297.54,2270.5,75.794,2.6
2011-03-24,384.161,1430.43,1309.66,2312.09,75.656,2.72
2011-03-25,384.536,1429.88,1313.8,2316.36,76.217,2.69
2011-03-28,386.196,1420.3,1310.19,2303.1,76.128,2.74
2011-03-29,388.122,1418.45,1319.44,2325.54,76.249,2.74
2011-03-30,392.225,1422.98,1328.26,2336.52,76.118,2.75
2011-03-31,392.21,1432.2,1325.83,2338.99,75.857,2.75
2011-04-01,396.073,1428.73,1332.41,2342.92,75.833,2.79
2011-04-04,395.164,1434.03,1332.87,2334.54,75.912,2.79
2011-04-05,396.127,1455.85,1332.63,2327.87,75.882,2.8
2011-04-06,396.396,1459.75,1335.54,2332.34,75.514,2.8
2011-04-07,395.86,1458.2,1333.51,2332.88,75.585,2.85
2011-04-08,391.312,1474.91,1328.17,2321.18,75.066,2.9
2011-04-11,390.329,1463.15,1324.46,2314.5,75.056,2.88
2011-04-12,388.233,1452.98,1314.16,2298.3,74.853,2.92
2011-04-13,389.958,1457.36,1314.41,2316.63,74.98,2.92
2011-04-14,389.53,1474.15,1314.52,2311.25,74.685,2.99
2011-04-15,391.39,1486.88,1319.68,2307.58,74.832,2.99
2011-04-18,385.479,1495.3,1305.14,2292.34,75.504,3.01
2011-04-19,386.189,1496.4,1312.62,2306.77,75.029,3.02
