age,name_length,sex,nationality,major
20.42,19,Female,Mexico,NEG
19.64,20,Male,Mexico,ESC
18.25,20,Female,Mexico,ESC
18.43,30,Male,Mexico,ESC
18.19,17,Female,Mexico,ESC
17.84,23,Female,Mexico,ESC
17.94,24,Female,Mexico,ESC
18.27,22,Male,Mexico,ESC
19.17,16,Male,Mexico,ESC
22.38,25,Female,Mexico,NEG
18.13,23,Male,Mexico,ESC
18.18,23,Male,Mexico,ESC
18.94,23,Female,Mexico,ESC
18.67,22,Female,Mexico,ESC
17.75,20,Male,Mexico,ESC
18.58,27,Male,Mexico,ESC
17.83,17,Female,Mexico,ESC
18.15,24,Male,Mexico,ESC
18.72,17,Female,Mexico,ESC
18.36,35,Female,Mexico,ESC
19.54,20,Male,Mexico,ESC
23.17,26,Male,Mexico,ESC
21.67,27,Female,Mexico,ESC
18.44,23,Male,Mexico,ESC
19.15,22,Male,Mexico,ESC
19.43,24,Female,Mexico,ESC
19.35,19,Male,Mexico,LED
19.15,27,Female,Mexico,ESC
18.44,24,Female,Mexico,ESC
18.67,18,Male,Mexico,ESC
18.62,21,Female,Mexico,ESC
18.00,19,Male,Mexico,ESC
18.14,24,Female,Mexico,ESC
18.57,22,Female,Mexico,ESC
17.91,19,Female,Mexico,ESC
19.07,30,Male,Mexico,NEG
18.43,32,Female,Mexico,ESC
18.32,23,Male,Mexico,ESC
17.90,17,Male,Mexico,ESC
18.04,23,Male,Mexico,ESC
18.16,21,Male,Mexico,ESC
18.09,32,Female,Mexico,ESC
18.70,24,Female,Mexico,ESC
18.26,21,Female,Mexico,ESC
18.03,20,Male,Mexico,ESC
19.30,21,Male,Mexico,ESC
20.74,32,Female,Mexico,ESC
17.87,18,Female,Mexico,ESC
17.89,27,Female,Mexico,ESC
18.00,22,Male,Mexico,ESC
18.87,27,Female,Mexico,ESC
18.39,21,Male,Mexico,ESC
18.62,19,Male,Mexico,ESC
18.03,21,Female,Mexico,ESC
20.64,25,Male,Mexico,ESC
19.43,29,Female,Mexico,LED
17.84,17,Female,Mexico,ESC
18.39,23,Female,Mexico,ESC
18.43,23,Female,Mexico,ESC
17.78,22,Male,Mexico,ESC
20.45,25,Male,Mexico,LAE
19.51,26,Male,Mexico,LAE
19.65,19,Female,Mexico,LED
19.01,18,Female,Mexico,ESC
18.77,22,Male,Mexico,ESC
18.46,21,Female,Mexico,ESC
18.69,24,Female,Mexico,ESC
18.72,19,Female,Mexico,ESC
19.41,22,Female,Mexico,ESC
18.65,14,Female,Europe,ESC
17.94,20,Male,Mexico,ESC
17.17,19,Male,Mexico,ESC
19.07,23,Male,Mexico,IBQ
17.34,18,Female,Mexico,ESC
22.41,19,Male,Mexico,ARQ
19.07,16,Female,Mexico,IRS
19.82,20,Male,Mexico,ICT
19.42,18,Female,Mexico,ESC
17.84,18,Female,Mexico,ESC
18.43,22,Female,Mexico,ESC
18.02,23,Female,Mexico,ESC
18.50,21,Female,Mexico,ESC
19.22,33,Female,Mexico,LED
18.22,25,Male,Mexico,ESC
18.67,16,Male,Mexico,ESC
18.74,29,Female,Mexico,ESC
20.09,29,Female,Mexico,ESC
19.07,22,Female,Mexico,ESC
18.41,21,Female,Mexico,ESC
18.43,21,Male,Mexico,ESC
19.60,19,Female,Mexico,ESC
18.29,16,Male,Mexico,ESC
21.05,21,Male,Mexico,ESC
19.61,18,Male,Mexico,ESC
18.73,20,Male,Mexico,ESC
18.43,29,Female,Mexico,ESC
17.71,26,Female,Mexico,ESC
18.05,14,Male,Mexico,ESC
21.22,27,Female,Mexico,ESC
22.77,34,Female,Mexico,ICT
21.91,25,Male,Mexico,LAD
19.66,21,Male,Mexico,IIT
19.10,27,Female,Mexico,NEG
22.31,27,Male,Mexico,NEG
22.14,22,Male,Mexico,LTM
20.24,24,Male,Mexico,LDI
19.32,23,Male,Mexico,IIT
20.27,22,Male,Mexico,IIS
19.64,16,Male,Mexico,NEG
18.88,28,Male,Mexico,IIT
18.98,27,Male,Mexico,IM
18.93,16,Male,Mexico,IIT
21.95,32,Male,Mexico,LTM
18.94,25,Female,Mexico,NEG
19.04,24,Female,Mexico,IIT
18.77,22,Male,Mexico,BGB
19.69,22,Male,Mexico,BME
18.70,29,Female,Mexico,NEG
20.57,19,Male,Mexico,ARQ
19.44,17,Female,Mexico,ESC
18.98,24,Male,Mexico,ICT
19.21,26,Male,Mexico,IIT
19.64,24,Female,Mexico,IIT
22.05,28,Male,Mexico,LAE
22.83,30,Female,Mexico,LEM
20.06,26,Male,Mexico,ITC
21.29,33,Male,Mexico,ITC
23.29,26,Female,Mexico,LTM
20.80,24,Male,Mexico,BGB
20.19,22,Male,Mexico,IIT
20.48,16,Male,Mexico,IIT
20.69,27,Male,Mexico,IIS
20.71,34,Male,Mexico,LED
20.22,23,Female,Mexico,LC
20.21,21,Female,Mexico,LAD
18.91,25,Female,Mexico,LTM
23.46,19,Male,Mexico,LEC
20.12,24,Male,Mexico,NEG
22.55,18,Female,Mexico,LEM
23.21,29,Male,Mexico,LAE
19.07,27,Male,Mexico,NEG
19.67,19,Male,Mexico,BFI
19.89,27,Male,Mexico,NEG
24.74,19,Male,Mexico,LDE
20.15,25,Male,Mexico,IIS
21.20,23,Male,Mexico,LDE
20.87,25,Male,South America,LIT
20.51,19,Female,Mexico,IDS
19.24,25,Male,Mexico,IIT
19.74,22,Female,Mexico,BFI
20.41,19,Male,Mexico,BFI
18.64,19,Female,South America,NEG
20.71,25,Male,Mexico,IIT
18.51,20,Male,Mexico,IBQ
18.85,19,Male,Mexico,IBQ
18.86,25,Female,South America,IBQ
18.51,17,Female,Mexico,IBQ
18.96,23,Male,Mexico,IBQ
18.25,39,Male,Mexico,IBQ
18.72,23,Male,Mexico,IBQ
18.82,27,Female,Mexico,IBQ
18.05,20,Male,Mexico,IBQ
18.06,27,Male,Mexico,IBQ
17.73,18,Female,Mexico,IBQ
18.38,26,Male,Mexico,IBQ
19.28,26,Female,Mexico,IBQ
18.99,27,Female,Mexico,IBQ
18.60,31,Female,Mexico,IBQ
17.87,24,Male,Mexico,IBQ
18.92,20,Male,Mexico,IBQ
18.90,24,Male,Mexico,IBQ
17.78,24,Female,Mexico,IBQ
18.75,31,Female,Mexico,IBQ
18.45,31,Female,Mexico,IBQ
18.06,18,Female,Mexico,IBQ
19.06,22,Female,Mexico,IBQ
19.29,28,Female,Mexico,IBQ
18.85,18,Female,Mexico,IBQ
18.76,28,Male,Mexico,IBQ
19.32,28,Male,Mexico,IBQ
20.14,29,Female,Mexico,IBQ
21.23,17,Female,South America,IPU
19.61,26,Female,Mexico,IBQ
21.22,22,Male,Mexico,IBQ
17.98,24,Female,South America,ICI
18.34,33,Male,Mexico,ICT
18.86,27,Female,Mexico,IBQ
19.53,28,Female,Mexico,IBQ
19.38,23,Male,Mexico,IBQ
18.63,32,Male,Mexico,IBQ
19.24,18,Female,Mexico,IBQ
17.77,30,Male,Mexico,IBQ
18.88,20,Female,Mexico,IBQ
19.51,18,Male,Mexico,IBQ
18.09,35,Male,Mexico,IBQ
18.62,19,Female,Mexico,IBQ
18.13,23,Male,Mexico,IBQ
18.64,26,Male,Mexico,IBQ
18.70,17,Male,Mexico,IBQ
18.35,27,Female,Mexico,IBQ
19.61,19,Female,Mexico,IBQ
18.96,23,Female,Mexico,IBQ
18.49,28,Male,Mexico,IBQ
18.99,27,Female,Mexico,IBQ
18.74,22,Female,Mexico,IBQ
18.57,11,Male,Mexico,IBQ
18.71,20,Female,Mexico,IBQ
18.69,32,Male,Mexico,IBQ
19.30,17,Female,Mexico,IBQ
19.19,22,Female,Mexico,IBQ
18.90,21,Female,Mexico,IBQ
19.53,21,Female,Mexico,IBQ
17.91,25,Male,Mexico,IBQ
22.51,17,Female,Europe,IPU
20.23,19,Male,Mexico,BFI
19.16,18,Female,Mexico,NEG
19.01,15,Male,Mexico,NEG
19.06,22,Male,Mexico,BGB
22.32,17,Female,Mexico,LEM
21.12,23,Male,North America,LEM
19.93,23,Female,Mexico,LAF
18.19,30,Female,South America,IBQ
18.10,24,Male,Mexico,IBQ
18.54,18,Female,Mexico,IBQ
18.12,32,Female,Mexico,IBQ
18.90,23,Male,Mexico,IBQ
18.81,30,Male,Mexico,IBQ
17.23,19,Female,Mexico,IBQ
18.67,22,Female,Mexico,IBQ
18.61,18,Female,Mexico,IBQ
19.75,10,Male,North America,IBQ
18.35,29,Male,Mexico,IBQ
18.91,28,Female,Mexico,IBQ
18.78,19,Female,Mexico,IBQ
19.31,21,Female,Mexico,IBQ
18.50,19,Male,Mexico,IBQ
18.49,28,Female,Mexico,IBQ
21.26,19,Male,Mexico,ICT
18.09,20,Female,Mexico,IBQ
18.40,22,Female,Mexico,IBQ
18.18,21,Female,Mexico,IBQ
18.31,21,Male,Mexico,IBQ
18.38,25,Female,Mexico,IBQ
18.86,18,Female,Mexico,IBQ
19.16,20,Female,Mexico,IBQ
19.38,24,Male,Mexico,IBQ
19.97,26,Male,South America,IPU
17.45,25,Male,Mexico,IBQ
18.98,18,Male,South America,IBQ
18.05,20,Male,Mexico,IBQ
20.76,29,Male,Mexico,IBQ
18.70,22,Female,South America,IBQ
17.42,24,Female,Mexico,IBQ
18.38,25,Female,Mexico,IBQ
18.76,21,Female,Mexico,IBQ
19.16,21,Male,Mexico,IBQ
17.68,24,Female,Mexico,IBQ
19.51,27,Male,North America,IBQ
19.32,23,Male,Mexico,IBQ
19.65,27,Female,Mexico,IBQ
17.08,16,Female,Mexico,IBQ
18.02,20,Female,Mexico,IBQ
21.96,21,Male,Mexico,IBQ
18.02,29,Female,Mexico,IBQ
18.41,19,Male,Mexico,IBQ
18.38,21,Female,Mexico,IBQ
18.52,24,Female,Mexico,IBQ
20.64,34,Male,Mexico,IIT
19.10,19,Female,Mexico,IBQ
17.99,14,Male,Mexico,IBQ
18.82,27,Male,Mexico,IBQ
17.76,30,Female,Mexico,IIT
18.82,26,Male,Mexico,IIT
18.60,24,Male,Mexico,IIT
18.18,20,Female,Mexico,IIT
17.73,30,Male,Mexico,IIT
18.00,20,Male,Mexico,IIT
18.97,22,Male,Mexico,IIT
18.75,21,Male,Mexico,IIT
18.55,20,Male,Mexico,IIT
18.53,23,Male,Mexico,IIT
19.19,27,Female,Mexico,IIT
17.52,27,Male,Mexico,IIT
17.95,16,Male,Mexico,IIT
18.86,32,Female,Mexico,IIT
19.66,23,Male,Mexico,IIT
17.73,27,Female,Mexico,IIT
18.37,24,Male,Mexico,IIT
16.94,28,Male,Mexico,IIT
18.61,24,Male,Mexico,IIT
17.03,28,Male,Mexico,IIT
16.81,26,Male,Mexico,IIT
17.08,26,Male,Mexico,IIT
18.90,19,Female,Mexico,IIT
17.36,18,Male,Mexico,IIT
17.88,23,Male,Mexico,IIT
19.08,19,Male,Mexico,IIT
19.74,23,Male,Mexico,IIT
20.03,20,Female,Mexico,LAF
20.31,26,Male,Mexico,CPF
22.81,29,Female,Mexico,LAF
22.77,19,Male,Mexico,LAF
19.85,22,Male,Mexico,NEG
19.47,17,Male,Mexico,NEG
22.54,25,Male,Mexico,LAF
20.26,19,Male,Mexico,NEG
22.83,26,Male,Mexico,LAF
22.93,23,Male,Mexico,LAF
22.35,18,Male,Mexico,LAF
22.59,23,Male,Mexico,LAF
21.48,25,Female,Mexico,LAF
20.71,25,Male,Mexico,LAF
20.74,22,Male,Mexico,LAF
19.32,17,Female,Mexico,ARQ
19.23,19,Female,Mexico,NEG
19.12,18,Female,Mexico,ARQ
20.31,29,Female,Mexico,IMT
17.97,25,Female,Mexico,IIT
18.24,23,Female,Mexico,IIT
18.33,17,Female,Mexico,ICI
18.52,19,Female,Mexico,ESC
19.44,21,Female,Mexico,ESC
20.42,21,Female,Mexico,IMT
19.48,17,Male,Mexico,IIT
19.35,23,Male,Mexico,IIT
18.03,29,Male,Mexico,IIT
20.83,26,Male,Mexico,IMT
20.30,23,Male,Mexico,IMT
19.03,26,Female,Mexico,ESC
20.50,25,Female,Mexico,IMT
17.82,22,Female,Mexico,NEG
18.32,22,Female,Mexico,NEG
18.10,28,Female,Mexico,NEG
18.42,19,Male,Mexico,NEG
16.65,28,Female,South America,NEG
17.73,29,Male,Mexico,NEG
17.23,30,Male,Mexico,NEG
18.91,22,Male,Mexico,NEG
18.95,21,Female,Mexico,NEG
18.17,23,Female,Mexico,NEG
17.98,24,Male,Mexico,NEG
18.83,19,Male,Mexico,NEG
18.37,25,Male,Mexico,NEG
18.35,26,Female,Mexico,NEG
18.56,20,Female,Mexico,NEG
18.69,19,Male,Mexico,NEG
18.53,30,Female,Mexico,NEG
18.96,22,Male,Mexico,NEG
19.41,32,Female,Mexico,NEG
18.39,17,Male,Mexico,NEG
19.20,20,Male,Mexico,NEG
18.63,30,Male,Mexico,NEG
18.35,29,Male,Mexico,NEG
18.16,20,Female,Mexico,NEG
18.34,23,Female,Mexico,NEG
19.16,20,Male,Mexico,NEG
18.82,17,Male,Mexico,NEG
18.38,23,Female,Mexico,NEG
18.53,18,Male,Mexico,NEG
21.99,30,Female,Europe,IPU
18.68,21,Female,Mexico,NEG
18.33,29,Female,Mexico,ICI
18.64,22,Female,Mexico,IBQ
18.70,26,Female,Mexico,IBQ
18.28,30,Female,Mexico,ICI
18.64,24,Female,Mexico,IBQ
18.08,20,Male,Mexico,ICT
18.13,18,Male,Mexico,IBQ
19.36,25,Male,Mexico,IBQ
18.53,26,Male,Mexico,ICI
16.99,27,Female,Mexico,IBQ
18.37,20,Male,Mexico,ICT
17.35,26,Male,Mexico,ICT
18.49,18,Male,Mexico,ICT
17.19,19,Male,Mexico,IIT
16.96,19,Male,Mexico,ICI
17.17,27,Male,Mexico,IIT
18.66,26,Male,Mexico,IIT
16.95,21,Female,Mexico,ICT
17.70,28,Male,Mexico,IIT
17.72,25,Female,Mexico,IIT
19.29,28,Male,Mexico,ICT
18.46,25,Female,Mexico,IIT
20.51,29,Female,Mexico,IIT
18.93,27,Female,Mexico,ICI
18.45,23,Male,Mexico,IIT
18.19,25,Male,Mexico,ICT
17.85,28,Male,Mexico,ICT
19.67,25,Male,Mexico,IBQ
17.57,26,Male,Mexico,IIT
19.65,15,Male,Mexico,IIT
18.52,20,Male,Mexico,IIT
18.39,23,Male,Mexico,IIT
18.29,28,Male,Mexico,IIT
18.83,27,Male,Mexico,IIT
18.08,15,Male,Mexico,IIT
18.70,22,Male,Mexico,IIT
18.45,26,Male,Mexico,IIT
18.61,21,Female,Mexico,IIT
18.26,18,Male,Mexico,IIT
18.58,24,Male,Mexico,IIT
18.14,20,Male,Mexico,IIT
19.03,22,Male,Mexico,IIT
18.69,26,Male,Mexico,IIT
18.43,20,Male,Mexico,IIT
19.47,23,Male,Mexico,IIT
18.35,20,Male,Mexico,IIT
18.66,28,Male,Mexico,IIT
18.13,27,Male,Mexico,IIT
18.35,25,Male,Mexico,IIT
17.12,20,Female,Mexico,IIT
17.36,27,Female,Mexico,IIT
17.07,17,Female,Mexico,IIT
18.13,22,Male,Mexico,IIT
19.34,15,Male,Mexico,IIT
18.69,24,Male,Mexico,IIT
18.09,15,Male,Mexico,IIT
18.41,15,Male,Mexico,ESC
18.76,27,Male,Mexico,ESC
18.08,28,Male,Mexico,NEG
18.85,26,Female,Mexico,ESC
18.07,21,Female,Mexico,NEG
18.37,25,Female,Mexico,IIT
18.15,19,Male,Mexico,ESC
18.54,26,Male,Mexico,ESC
17.95,27,Female,Mexico,IIT
18.45,28,Male,Mexico,IIT
18.25,14,Male,Mexico,IIT
18.32,19,Female,Mexico,ESC
18.04,14,Female,Mexico,ESC
18.52,22,Female,Mexico,ESC
18.02,18,Female,Mexico,ESC
18.09,19,Female,Mexico,ESC
17.81,21,Female,Mexico,IIT
18.25,18,Male,Mexico,IIT
18.32,31,Female,Mexico,ESC
18.53,21,Female,Mexico,ESC
18.88,24,Male,Mexico,ESC
18.31,25,Female,Mexico,ESC
19.37,23,Male,Mexico,NEG
19.47,27,Female,South America,LED
20.11,19,Male,Mexico,BIE
22.96,22,Female,Mexico,LED
20.44,23,Male,North America,LAE
20.71,21,Male,Mexico,LAF
21.71,23,Female,Mexico,LAE
25.47,12,Male,South America,BGB
18.57,24,Male,Mexico,IIT
18.49,25,Female,South America,IBQ
19.43,20,Female,Mexico,IBQ
18.66,23,Male,Mexico,IBQ
18.10,21,Female,Mexico,IBQ
18.29,22,Female,Mexico,IBQ
17.91,21,Male,Mexico,IBQ
18.59,23,Male,Mexico,IBQ
18.20,25,Male,Mexico,IBQ
18.58,23,Male,Mexico,IBQ
17.89,20,Female,Mexico,IBQ
18.33,25,Male,Mexico,IBQ
19.41,27,Male,Mexico,IBQ
17.80,23,Male,Mexico,IBQ
18.05,26,Female,Mexico,IBQ
20.41,28,Male,Mexico,IBQ
17.94,22,Female,Mexico,IBQ
18.77,28,Female,Mexico,IBQ
17.77,25,Female,Mexico,IBQ
18.30,24,Female,Mexico,IBQ
18.60,22,Male,Mexico,IBQ
18.22,27,Female,Mexico,IBQ
18.05,32,Female,Mexico,IBQ
17.96,23,Female,Mexico,IBQ
18.52,37,Male,Mexico,IBQ
18.52,19,Male,Mexico,IBQ
17.98,21,Female,Mexico,IBQ
17.98,20,Male,Mexico,IBQ
18.47,20,Female,Mexico,IBQ
18.12,31,Male,Mexico,IBQ
18.21,19,Female,Mexico,IBQ
18.59,24,Female,Mexico,IBQ
18.08,26,Female,Mexico,IBQ
18.10,16,Female,Mexico,IBQ
