date,unemployment_mx,prices_export,goods_export,goods_import,prices_import,industrial_production,industrial_production_idx,consumer_price_idx,unemployment_ca,unemployment_usa,wage_idx_ca,wage_idx_usa,interest_ca,interest_mx,interest_usa
2025-01-01,2.365291832,116.8705506,53495.78457,52788.62334,139.9163794,-3.551995316,116.1656423,187.3699769,6.412489195,3.9874712,149.7440223,160.495095,3.156258726,10.14613059,4.076134832
2025-02-01,2.155287542,117.2515572,54070.22148,53347.83045,139.9659022,-3.712071436,116.2214838,188.0240582,6.362483963,3.94995159,149.9826813,161.1391893,3.047507457,10.01621588,3.96097306
2025-03-01,2.539287641,118.3276128,54202.37821,53546.00181,140.0389709,-3.719960774,116.404291,188.7535067,6.424967036,3.912430748,150.5818835,161.6231825,3.117507762,9.900286718,3.959536653
2025-04-01,2.312656106,118.5521763,54869.31587,53812.66995,140.0693098,-3.832726993,116.276847,189.3011934,6.280523111,3.879108625,151.059208,162.0688485,3.174186402,9.641712188,3.969715853
2025-05-01,1.950440861,118.8713795,54813.96698,53926.13884,140.0701855,-3.68988437,116.1201318,189.9692908,6.502748573,3.923560271,151.2713541,162.6986466,3.148649226,9.564453783,3.922122806
2025-06-01,2.443735241,118.5587519,51629.26351,52007.25892,140.0744266,-2.662741003,112.9093231,190.5727525,7.091643765,5.067990211,151.8017182,163.7634651,3.210876,9.299614051,3.922273507
2025-07-01,2.368156562,119.0410403,50386.44739,51265.42504,140.116964,-2.539351595,113.2305421,191.3247339,7.136092086,4.812455405,152.1199362,164.155031,3.239767017,9.117188511,3.907968111
2025-08-01,2.497034692,119.4371576,53997.66842,52819.81957,140.0961078,-3.528554397,115.1949297,191.973725,6.924994139,4.612443375,152.4381535,164.5848888,3.217556135,8.889421918,3.822542549
2025-09-01,2.653717324,119.8981208,54871.31472,54274.9762,140.0017691,-3.745800852,115.6565422,192.748788,6.691651476,4.434680156,152.5442247,165.0531243,3.210903996,8.755164628,3.733781848
2025-10-01,2.647056717,120.022502,55435.73674,54569.16882,140.0727665,-3.899935031,116.1014321,193.3389003,6.636104634,4.24578889,153.0745879,165.5772467,3.149800387,8.404465707,3.633847297
2025-11-01,2.617068481,120.1049837,55824.53236,54829.75054,140.0570682,-4.048124827,116.2956227,193.929272,6.469438608,4.101339818,153.3397687,166.0754797,3.239813978,8.190617447,3.716074827
2025-12-01,2.375964486,120.7571424,55781.32835,55207.9412,140.1050401,-3.965017086,116.5334519,194.668993,6.402761139,4.001324867,153.6049516,166.606309,3.396491056,8.075862075,3.90825259
2026-01-01,2.17209221,121.0065989,56526.85972,55505.01635,140.0861094,-4.179137344,116.666026,195.334743,6.315250335,3.888796069,153.9079862,167.1479956,3.362749783,7.871992667,3.884387425
2026-02-01,1.962087921,121.3876055,57101.29662,56064.22346,140.1356322,-4.339213465,116.7218675,195.9888242,6.265245103,3.851276458,154.1466452,167.7920898,3.253998514,7.742077954,3.769225654
2026-03-01,2.34608802,122.4636611,57233.45335,56262.39482,140.2087009,-4.347102803,116.9046747,196.7182727,6.327728176,3.813755617,154.7458475,168.2760831,3.323998819,7.626148791,3.767789246
2026-04-01,2.119456484,122.6882246,57900.39101,56529.06296,140.2390398,-4.459869022,116.7772308,197.2659594,6.183284251,3.780433494,155.2231719,168.7217491,3.380677459,7.367574262,3.777968446
2026-05-01,1.75724124,123.0074278,57845.04213,56642.53185,140.2399155,-4.317026399,116.6205156,197.9340569,6.405509713,3.82488514,155.435318,169.3515471,3.355140283,7.290315857,3.730375399
2026-06-01,2.25053562,122.6948002,54660.33865,54723.65193,140.2441566,-3.289883032,113.4097069,198.5375186,6.994404905,4.96931508,155.9656821,170.4163656,3.417367057,7.025476124,3.7305261
2026-07-01,2.174956941,123.1770885,53417.52253,53981.81805,140.286694,-3.166493624,113.7309258,199.2895,7.038853226,4.713780274,156.2839002,170.8079316,3.446258074,6.843050584,3.716220704
