name.length,age
21,62.8665
25,58.0753
31,53.4127
23,27.8111
26,24.2765
27,24.2190
27,24.5311
18,23.7591
23,23.9425
23,24.1040
31,24.2464
27,24.7556
24,23.7399
25,23.2252
24,23.4141
26,23.6769
23,22.8830
24,23.0308
19,22.8392
20,23.0746
19,23.1677
16,22.8282
22,23.1869
36,23.6715
22,23.0856
17,23.1650
30,23.2197
25,23.3511
25,23.6961
19,23.1923
29,23.7016
22,23.0171
27,23.0637
21,23.2279
22,23.0116
19,23.5784
30,23.6112
28,23.6715
27,23.5346
17,23.3895
24,22.8008
22,22.8392
29,23.0609
29,23.2936
19,23.5483
21,22.8528
25,23.5537
24,22.9432
24,23.5400
20,22.9432
24,22.4230
29,22.4203
32,21.9849
21,22.6858
16,22.1629
27,22.2012
29,22.4997
31,21.4511
27,22.1930
18,22.3573
21,22.6995
18,22.4914
15,22.2752
28,21.7194
19,22.1164
16,22.8090
22,21.4620
26,21.6893
21,21.9357
26,22.2752
20,21.9493
19,21.8700
29,22.3190
17,21.9740
27,21.9192
19,22.6749
31,22.6366
19,22.6174
24,21.8508
19,22.5544
21,22.5216
20,22.4175
28,21.7112
28,22.4230
27,22.2259
24,22.6092
19,22.1191
20,22.6776
17,21.7139
26,22.3655
27,22.0260
24,22.8282
21,22.5681
25,21.5496
20,21.7385
21,22.3600
28,24.7502
20,21.4812
22,22.8939
27,23.4086
21,22.0534
21,21.7604
27,22.5517
24,21.0541
28,20.8706
20,21.6016
26,21.0459
17,21.3881
22,21.2129
21,20.5257
23,20.9500
20,20.9719
23,21.3470
15,21.0431
24,21.5496
19,21.1608
24,20.9637
17,20.5065
26,21.0048
27,21.3552
22,21.5688
26,22.0561
28,20.4956
21,21.1006
26,20.4298
18,20.7803
21,21.7166
25,20.8049
18,20.8953
24,21.1280
29,20.6270
37,20.9090
16,20.9802
29,20.8679
19,21.0650
21,21.1225
25,20.9555
21,20.4271
28,21.2293
24,20.4983
27,21.1937
22,20.9008
24,21.4127
28,21.3279
18,21.0924
22,21.0979
28,20.4736
25,20.9144
22,21.0075
20,20.8378
26,20.6352
25,20.7036
32,21.2375
27,21.2676
24,23.7290
27,21.1116
26,24.6379
11,20.7365
23,24.6489
20,20.6762
23,20.6051
20,20.9500
25,20.9035
19,20.4654
23,21.7714
22,22.0862
31,21.2895
18,21.0048
28,19.9644
18,20.3094
21,20.5394
24,20.5640
21,20.5503
21,19.5756
18,19.6140
27,20.0575
38,19.6277
27,20.3340
19,20.2272
25,20.2984
28,20.0055
17,20.4545
23,20.1561
21,20.6242
24,19.9343
28,19.9918
27,19.8084
20,20.3532
24,19.6194
21,19.8768
25,20.2355
25,20.2327
23,20.3833
23,20.0055
29,19.9671
21,19.4387
20,19.4716
18,20.1780
21,19.8795
27,19.7919
21,19.7947
16,20.3806
26,19.4196
26,23.1075
17,23.0445
29,23.5975
15,23.4853
25,20.3313
22,20.5284
20,19.9918
23,20.3012
23,23.7070
17,23.2416
21,22.8255
19,20.3285
25,20.5749
30,22.7379
30,19.4415
17,19.8220
19,22.8720
17,21.1006
25,19.3210
20,18.7570
30,19.2745
24,19.2526
23,19.6249
19,18.7981
28,18.9185
24,19.1814
21,19.6988
24,19.5291
19,19.0445
27,18.6831
19,19.6797
19,18.5626
20,18.7077
23,19.5373
23,19.1786
27,19.2663
28,18.7132
20,18.6721
24,18.4257
18,19.0500
30,19.0144
27,19.0527
25,18.9377
25,18.7625
29,18.4449
21,19.5893
22,19.5784
19,19.0637
18,18.5517
25,19.4853
23,19.6879
31,19.1376
20,19.3840
18,19.4141
29,18.8830
26,19.1677
31,18.6530
22,19.0308
26,22.1492
19,18.8747
27,19.1403
28,22.6639
24,21.9959
24,22.3518
32,22.5982
18,21.5770
20,22.1574
28,18.5818
27,22.4476
30,21.7796
33,22.5681
32,22.5818
24,21.4428
26,21.6400
22,18.8200
24,22.5079
27,22.3491
22,22.6557
24,21.5989
26,22.2834
20,21.4675
29,22.5708
30,21.7166
28,22.6585
28,21.5414
20,18.5216
23,21.9822
24,21.8563
17,21.7358
27,19.5017
22,18.7844
29,21.3881
22,23.2663
24,21.5469
20,19.1431
23,22.2313
22,19.9562
24,20.9391
29,21.0075
25,21.3552
16,21.0842
19,21.1170
25,21.2512
22,21.5825
17,20.7529
34,22.6585
23,20.9117
29,21.0951
24,20.3778
15,21.1307
30,21.3634
17,21.1444
29,20.9309
22,22.4997
29,21.1937
27,21.7796
27,20.1999
19,19.6988
27,20.6188
25,19.8905
29,22.2888
25,20.4079
26,19.9370
21,19.8084
16,20.1670
26,20.1670
22,20.2108
28,19.7536
27,20.3587
22,19.5565
15,20.3340
25,19.4031
16,19.7344
27,19.0445
24,19.2252
24,18.4285
19,18.8528
24,19.1814
28,18.8775
24,18.6229
25,18.4066
23,18.7105
19,18.6667
25,19.1157
26,18.7433
29,18.9733
31,18.8474
25,18.9103
25,24.0548
22,24.5667
27,24.6845
28,23.3648
18,23.2498
26,23.6523
24,23.0062
18,23.1951
18,23.1978
20,22.9021
28,23.6222
19,22.8611
21,22.9459
23,23.4086
21,23.3018
21,23.0691
20,22.4285
30,22.6585
25,22.8118
28,21.8179
21,22.3354
23,21.7687
25,22.1766
30,22.3600
22,22.3655
25,22.3491
21,22.3573
24,21.0678
25,20.7775
20,21.0787
27,21.1499
33,20.6215
33,21.1636
23,21.1964
29,21.1170
21,20.9309
22,20.7830
22,21.3388
21,20.8268
22,21.3333
27,20.3915
26,20.6817
23,20.6516
21,19.6578
17,19.8193
26,19.9644
25,19.9644
26,19.6550
25,19.4935
29,20.8652
28,20.0794
30,20.1424
15,20.2409
26,20.2355
28,20.3313
29,20.9090
23,19.9014
14,21.8289
21,19.9425
22,19.9069
27,20.3641
25,20.3121
20,19.0719
23,19.2827
22,18.9815
22,19.2799
22,19.0691
28,18.5024
21,19.2307
23,18.6420
25,18.6639
26,18.7105
27,18.9569
32,18.4120
29,18.7734
20,19.2690
28,19.1321
21,18.9897
23,18.9815
21,19.2635
25,18.7269
23,17.7467
20,19.2197
20,19.7509
26,19.3539
20,43.9671
30,32.8652
20,25.9411
25,24.3258
21,24.2382
28,24.3532
24,24.3751
29,23.5346
18,23.9699
25,23.7070
20,24.6927
28,23.7782
30,23.1458
20,23.2717
22,23.5264
24,23.1677
19,23.4251
24,22.9815
13,23.0034
17,23.3101
21,23.6906
23,23.8029
28,23.2799
34,23.3676
