name.length,age,nationality,sex,school
25,23.89,Mexico,female,EMCS
25,24.15,Mexico,female,EMCS
18,26.48,Mexico,female,EMCS
27,23.72,South America,female,EMCS
23,26.23,Mexico,female,EMCS
20,25.72,Mexico,male,EMCS
16,24.44,Mexico,female,EMCS
27,23.69,Mexico,female,EMCS
30,24.37,Mexico,male,EMCS
18,25.30,Mexico,male,EMCS
27,24.45,Mexico,female,EMCS
20,28.37,Mexico,female,EMCS
25,24.33,Mexico,female,EMCS
19,23.49,Mexico,female,EMCS
23,23.56,Mexico,male,EMCS
22,24.09,Mexico,female,EMCS
25,30.59,Mexico,male,EMCS
24,25.19,Mexico,female,EMCS
28,25.64,Mexico,female,EMCS
18,24.59,Mexico,male,EMCS
24,24.65,Mexico,female,EMCS
23,24.56,Mexico,female,EMCS
22,26.02,Mexico,female,EMCS
30,24.73,Mexico,female,EMCS
24,24.44,Mexico,male,EMCS
26,24.73,Mexico,female,EMCS
19,24.74,Mexico,female,EMCS
27,25.42,Mexico,male,EMCS
23,25.84,Mexico,female,EMCS
31,25.16,Mexico,female,EMCS
27,23.95,Mexico,female,EMCS
24,23.64,Mexico,female,EMCS
16,23.93,Mexico,female,EMCS
21,23.52,Mexico,female,EMCS
27,23.47,Mexico,female,EMCS
29,23.59,Mexico,female,EMCS
25,24.14,Mexico,female,EMCS
25,26.62,Mexico,female,EMCS
18,24.03,Mexico,female,EMCS
27,23.37,Mexico,female,EMCS
29,24.11,Mexico,female,EMCS
26,24.09,Mexico,female,EMCS
24,24.41,Mexico,female,EMCS
23,24.11,Mexico,female,EMCS
29,23.25,Mexico,female,EMCS
21,23.34,Mexico,male,EMCS
24,24.79,Mexico,female,EMCS
25,23.87,Mexico,female,EMCS
24,23.71,Mexico,female,EMCS
13,25.55,Mexico,male,EMCS
17,26.49,Mexico,female,EMCS
18,24.77,Mexico,male,EMCS
18,26.93,Mexico,male,EMCS
19,24.72,Mexico,female,EMCS
27,24.43,Mexico,female,EMCS
30,24.19,Mexico,male,EMCS
27,23.39,Mexico,male,EMCS
22,24.02,Mexico,female,EMCS
24,23.49,Mexico,female,EMCS
25,23.75,Mexico,female,EMCS
27,23.55,Mexico,female,EMCS
25,24.99,Mexico,female,EMCS
11,32.78,Asia,male,EMCS
17,27.15,Mexico,female,EMCS
24,25.66,Mexico,female,EMCS
21,24.75,Mexico,female,EMCS
18,23.74,Mexico,female,EMCS
17,24.00,Mexico,female,EMCS
24,24.53,South America,female,EMCS
24,23.41,Mexico,female,EMCS
22,24.36,Mexico,male,EMCS
30,24.34,Mexico,female,EMCS
21,24.10,Mexico,female,EMCS
20,27.07,Mexico,male,EMCS
26,22.96,Mexico,male,EMCS
21,26.07,Mexico,male,EMCS
28,26.75,Mexico,female,EMCS
26,26.95,Mexico,female,EMCS
26,25.79,Mexico,female,EMCS
24,24.61,Mexico,female,EMCS
26,25.33,Mexico,male,EMCS
22,24.80,Mexico,female,EMCS
28,25.56,Mexico,female,EMCS
23,25.04,Mexico,male,EMCS
24,25.34,Mexico,male,EMCS
30,25.03,Mexico,female,EMCS
40,24.83,Mexico,female,EMCS
22,25.63,Mexico,male,EMCS
25,24.72,Mexico,female,EMCS
18,24.94,Mexico,female,EMCS
23,25.94,Mexico,female,EMCS
19,26.88,Mexico,male,EMCS
20,24.55,Mexico,female,EMCS
