age,name_length,sex,nationality,major
24.8104,22,Male,Mexico,LAD
25.40726,30,Male,Mexico,LAE
25.02943,31,Female,Mexico,LED
24.54483,18,Male,Mexico,LDO
23.68515,22,Male,Mexico,IQ
23.58658,26,Female,Mexico,IAL
24.15332,22,Male,Mexico,IID
23.76454,24,Female,Mexico,ICT
24.564,26,Male,Mexico,INA
23.09377,27,Male,Mexico,LAF
23.33744,22,Male,Mexico,IQ
23.12389,19,Female,Mexico,LC
22.77892,17,Male,Mexico,ITC
23.28542,26,Male,Mexico,ITD
22.69952,26,Male,Mexico,ARQ
22.37919,24,Male,Mexico,IID
22.51608,20,Male,Mexico,LIT
22.54073,27,Female,Mexico,LAD
22.83368,24,Female,Mexico,MC
22.20945,30,Male,Mexico,IIS
22.65024,27,Female,Mexico,LRI
22.74333,24,Female,Mexico,LC
22.43943,27,Male,Mexico,LAE
22.97331,34,Male,Mexico,IIS
22.41205,22,Male,Mexico,LED
22.20123,21,Female,Mexico,LEM
23.80835,24,Male,Mexico,LDI
21.70021,30,Female,Mexico,ARQ
22.04517,20,Female,Mexico,BGB
22.27515,23,Male,Mexico,LAF
22.29979,26,Male,Mexico,IM
22.28611,23,Female,Mexico,LEM
21.31143,23,Male,Mexico,IIS
21.34976,20,Female,Mexico,LAE
21.79329,29,Male,Mexico,CPF
21.36345,40,Male,Mexico,ITC
22.06982,29,Male,Mexico,ARQ
21.96304,21,Female,Mexico,LAF
22.03422,27,Male,Mexico,LC
21.74127,30,Male,Mexico,CPF
22.19028,19,Male,Mexico,LAE
21.89185,25,Female,Mexico,LAE
22.36003,23,Female,Mexico,LEM
21.67009,26,Male,Mexico,LAE
21.72758,30,Female,Mexico,LIT
21.54415,29,Male,Mexico,IM
22.08898,22,Female,Mexico,LAD
21.35524,26,Female,Mexico,BIE
21.61259,23,Male,Mexico,IMT
21.97125,27,Male,Mexico,LED
21.96851,27,Male,Mexico,IRS
22.1191,25,Male,Mexico,IIS
21.74127,25,Male,Mexico,IIS
21.70294,31,Female,Mexico,IQ
21.17454,23,Female,Mexico,IMD
21.91376,20,Female,Mexico,IID
21.61533,23,Female,Mexico,LAE
21.52772,29,Male,Mexico,IMT
21.53046,23,Male,Mexico,NEG
21.15537,28,Male,Mexico,IDM
22.06708,27,Female,Mexico,LAE
22.2642,24,Male,Mexico,IIS
21.72758,22,Male,Mexico,IIS
22.06434,21,Male,Mexico,CPF
22.31075,27,Male,Mexico,LIT
21.17728,32,Female,Mexico,IQ
21.55784,19,Female,Mexico,IIS
21.05681,27,Male,Mexico,LIT
20.49281,22,Male,Mexico,LAF
21.01027,32,Male,Mexico,IRS
20.98836,26,Female,Mexico,LIN
21.36071,25,Male,Mexico,BIE
20.53388,21,Female,Mexico,ARQ
20.65435,30,Female,Mexico,LBC
20.91718,26,Female,Mexico,LEM
21.43463,23,Female,Mexico,LAF
21.26489,26,Female,Mexico,LED
20.78029,21,Female,Mexico,LDI
20.41889,29,Female,Mexico,LIT
21.41547,21,Male,Mexico,LAE
20.29843,21,Male,Mexico,IID
21.2731,25,Female,Mexico,ARQ
20.91444,25,Female,Mexico,IIS
21.00205,29,Male,Mexico,IMT
20.44901,30,Male,Mexico,LAE
20.40794,22,Female,Mexico,INA
20.16153,26,Female,Mexico,LDI
20.78576,20,Male,Mexico,BIE
20.75017,32,Male,Mexico,ESC
20.7885,29,Male,Mexico,MC
20.67351,27,Female,Mexico,BME
20.49829,27,Female,Mexico,LAE
20.1807,31,Female,Mexico,IQ
21.32512,23,Female,Mexico,IM
21.60712,24,Female,Mexico,LDI
21.31417,24,Male,Mexico,BIE
20.79945,21,Male,Mexico,LAF
20.28747,20,Male,Mexico,BIE
21.22108,27,Female,Mexico,LAE
21.42368,25,Female,Mexico,IMD
20.87337,33,Male,Mexico,ARQ
21.11978,22,Male,Mexico,LAE
21.1499,20,Male,Mexico,LAE
20.61875,31,Male,Mexico,ITC
20.90349,28,Female,Mexico,LAD
20.38877,33,Female,Mexico,IBT
20.7666,24,Male,Mexico,IBT
20.64339,32,Female,Mexico,MC
20.61054,21,Male,Mexico,IDS
20.87611,29,Male,Mexico,LDE
24.1013,32,Male,Mexico,IC
20.31759,30,Male,Mexico,IDM
20.55578,24,Female,Mexico,LAE
20.25736,22,Male,Mexico,IC
21.23751,29,Female,Mexico,LC
20.52019,24,Male,Mexico,IC
23.28268,26,Male,Mexico,LIN
20.87885,22,Female,Mexico,LDO
21.69199,24,Male,Mexico,IIS
19.85489,27,Male,Mexico,IIS
19.80835,29,Female,Mexico,LAF
20.00548,26,Female,Mexico,IAL
