age,name_length,sex,nationality,major
25.9001,21,Male,Mexico,MC
26.0260,31,Female,Mexico,LED
24.8624,23,Male,Mexico,IM
24.7611,24,Female,Mexico,ITC
25.5606,26,Male,Mexico,INA
23.3758,24,Male,Mexico,IID
23.5373,27,Female,Mexico,LAD
23.6331,24,Female,Mexico,MC
23.8303,24,Female,Mexico,MC
23.4360,27,Male,Mexico,LAE
23.4086,22,Male,Mexico,LED
24.8049,24,Male,Mexico,LDI
23.0308,27,Male,Mexico,LC
23.3566,23,Female,Mexico,LEM
22.5407,29,Male,Mexico,IM
22.3518,26,Female,Mexico,BIE
22.9651,27,Male,Mexico,IRS
22.1711,23,Female,Mexico,IMD
22.9103,20,Female,Mexico,IID
22.6119,23,Female,Mexico,LAE
22.5270,23,Male,Mexico,LEM
22.7242,22,Male,Mexico,IIS
23.0609,21,Male,Mexico,CPF
23.3073,27,Male,Mexico,LIT
22.0534,27,Male,Mexico,LIT
21.4894,22,Male,Mexico,LAF
22.0068,32,Male,Mexico,IRS
21.9849,26,Female,Mexico,LIN
22.3573,25,Male,Mexico,IIS
21.5305,21,Female,Mexico,ARQ
21.6509,30,Female,Mexico,LBC
21.9138,26,Female,Mexico,LEM
22.4312,23,Female,Mexico,LAF
22.2615,26,Female,Mexico,LED
21.7769,21,Female,Mexico,LDI
21.4155,29,Female,Mexico,LIT
22.4120,21,Male,Mexico,LAE
21.2950,21,Male,Mexico,IID
22.2697,25,Female,Mexico,ARQ
21.9110,25,Female,Mexico,IIS
21.9986,29,Male,Mexico,IMT
21.4456,30,Male,Mexico,LAE
21.4045,22,Female,Mexico,INA
21.1581,26,Female,Mexico,LDI
21.7823,20,Male,Mexico,BIE
21.7467,32,Male,Mexico,LPE
21.7851,29,Male,Mexico,MC
21.6701,27,Female,Mexico,BME
21.4949,27,Female,Mexico,LAE
21.1773,31,Female,Mexico,IQ
22.3217,23,Female,Mexico,IM
22.6037,24,Female,Mexico,LDI
22.3107,24,Male,Mexico,BIE
21.7960,21,Male,Mexico,LAF
21.2841,20,Male,Mexico,BIE
22.2177,27,Female,Mexico,LAE
22.4203,25,Female,Mexico,IMD
21.8700,33,Male,Mexico,ARQ
22.1164,22,Male,Mexico,LAE
22.1465,20,Male,Mexico,LAE
21.6153,31,Male,Mexico,ITC
21.9001,28,Female,Mexico,LAD
21.3854,33,Female,Mexico,IBT
21.7632,24,Male,Mexico,IBT
21.6400,32,Female,Mexico,MC
21.6071,21,Male,Mexico,IDS
21.8727,29,Male,Mexico,LDE
25.0979,32,Male,Mexico,IC
21.3142,30,Male,Mexico,IDM
21.5524,24,Female,Mexico,LAE
21.4648,26,Male,Mexico,ICI
22.2341,29,Female,Mexico,LC
21.5168,24,Male,Mexico,IC
21.8754,22,Female,Mexico,LDO
22.6886,24,Male,Mexico,IIS
20.8515,27,Male,Mexico,IIS
20.8049,29,Female,Mexico,LAF
21.0021,26,Female,Mexico,IAL
21.3224,28,Female,Mexico,IDM
20.5038,22,Female,Mexico,IC
20.6653,24,Female,Mexico,ITC
20.5886,27,Male,Mexico,IQ
21.0705,41,Female,Mexico,IC
20.4764,33,Male,Mexico,IMD
20.6680,25,Male,Mexico,IQ
20.5832,27,Female,Mexico,LC
20.7173,35,Male,Mexico,IIS
20.2437,27,Female,Mexico,ARQ
20.6927,25,Female,Mexico,IBT
20.6352,25,Male,Mexico,IIS
20.1259,26,Male,Mexico,ITC
20.3066,23,Male,Mexico,IIS
20.7502,21,Male,Mexico,LED
21.0869,23,Male,Mexico,IBT
21.5962,24,Female,Mexico,LAF
20.5120,24,Female,Mexico,LEM
20.4162,22,Male,Mexico,BME
20.5530,27,Male,Mexico,ITC
20.3833,27,Male,Mexico,ITC
20.3641,24,Male,Mexico,LAF
21.3771,24,Male,Mexico,BME
21.2101,33,Male,Mexico,IID
20.9582,23,Female,Mexico,LAE
20.2382,32,Male,Mexico,IIS
20.8433,25,Male,Mexico,IMT
20.6407,29,Male,Mexico,IQ
20.8104,22,Male,Mexico,ITC
20.6407,18,Male,Mexico,IIS
21.3142,22,Female,Mexico,LEM
20.4928,18,Male,Mexico,ITD
21.0103,28,Male,Mexico,LAF
20.5530,21,Male,Mexico,LAE
21.3799,24,Male,Mexico,IIS
